2025-07-11 01:04:17,761 [INFO] Merged node DocumentSoort(key=BRIEF_EUROPESE_COMMISSIE) props={'key': 'BRIEF_EUROPESE_COMMISSIE', 'prefLabel': 'Brief Europese Commissie'}
2025-07-11 01:04:17,762 [INFO] Merged node DocumentSoort(key=BRIEF_KAMER_AAN_BEWINDSPERSOON) props={'key': 'BRIEF_KAMER_AAN_BEWINDSPERSOON', 'prefLabel': 'Brief Kamer aan bewindspersoon'}
2025-07-11 01:04:17,762 [INFO] Merged node DocumentSoort(key=BRIEF_KAMER_AAN_DERDE) props={'key': 'BRIEF_KAMER_AAN_DERDE', 'prefLabel': 'Brief Kamer aan derde'}
2025-07-11 01:04:17,763 [INFO] Merged node DocumentSoort(key=BRIEF_KAMER) props={'key': 'BRIEF_KAMER', 'prefLabel': 'Brief Kamer'}
2025-07-11 01:04:17,763 [INFO] Merged node DocumentSoort(key=BRIEF_NATIONALE_OMBUDSMAN) props={'key': 'BRIEF_NATIONALE_OMBUDSMAN', 'prefLabel': 'Brief Nationale ombudsman'}
2025-07-11 01:04:17,764 [INFO] Merged node DocumentSoort(key=BRIEF_PRESIDIUM) props={'key': 'BRIEF_PRESIDIUM', 'prefLabel': 'Brief Presidium'}
2025-07-11 01:04:17,764 [INFO] Merged node DocumentSoort(key=BRIEF_COMMISSIE_AAN_BEWINDSPERSOON) props={'key': 'BRIEF_COMMISSIE_AAN_BEWINDSPERSOON', 'prefLabel': 'Brief commissie aan bewindspersoon'}
2025-07-11 01:04:17,765 [INFO] Merged node DocumentSoort(key=BRIEF_COMMISSIE_AAN_DERDE) props={'key': 'BRIEF_COMMISSIE_AAN_DERDE', 'prefLabel': 'Brief commissie aan derde'}
2025-07-11 01:04:17,765 [INFO] Merged node DocumentSoort(key=BRIEF_COMMISSIE) props={'key': 'BRIEF_COMMISSIE', 'prefLabel': 'Brief commissie'}
2025-07-11 01:04:17,766 [INFO] Merged node DocumentSoort(key=BRIEF_DERDEN_ORGANISATIE) props={'key': 'BRIEF_DERDEN_ORGANISATIE', 'prefLabel': 'Brief derden (organisatie)'}
2025-07-11 01:04:17,766 [INFO] Merged node DocumentSoort(key=BRIEF_DERDEN_PARTICULIEREN) props={'key': 'BRIEF_DERDEN_PARTICULIEREN', 'prefLabel': 'Brief derden (particulieren)'}
2025-07-11 01:04:17,767 [INFO] Merged node DocumentSoort(key=BRIEF_FORMATEUR) props={'key': 'BRIEF_FORMATEUR', 'prefLabel': 'Brief formateur'}
2025-07-11 01:04:17,767 [INFO] Merged node DocumentSoort(key=BRIEF_INFORMATEUR) props={'key': 'BRIEF_INFORMATEUR', 'prefLabel': 'Brief informateur'}
2025-07-11 01:04:17,768 [INFO] Merged node DocumentSoort(key=BRIEF_LID_FRACTIE) props={'key': 'BRIEF_LID_FRACTIE', 'prefLabel': 'Brief lid / fractie'}
2025-07-11 01:04:17,768 [INFO] Merged node DocumentSoort(key=BRIEF_PRESIDENT_HOGE_RAAD) props={'key': 'BRIEF_PRESIDENT_HOGE_RAAD', 'prefLabel': 'Brief president Hoge Raad'}
2025-07-11 01:04:17,769 [INFO] Merged node DocumentSoort(key=BRIEF_REGERING) props={'key': 'BRIEF_REGERING', 'prefLabel': 'Brief regering'}
2025-07-11 01:04:17,770 [INFO] Merged node DocumentSoort(key=BRIEF_VERKENNER) props={'key': 'BRIEF_VERKENNER', 'prefLabel': 'Brief verkenner'}
2025-07-11 01:04:17,770 [INFO] Merged node DocumentSoort(key=BRIEF_VOORZITTER) props={'key': 'BRIEF_VOORZITTER', 'prefLabel': 'Brief Voorzitter'}
2025-07-11 01:04:17,771 [INFO] Merged node DocumentSoort(key=BRIEVENLIJST_PROCEDUREVERGADERING) props={'key': 'BRIEVENLIJST_PROCEDUREVERGADERING', 'prefLabel': 'Brievenlijst procedurevergadering'}
2025-07-11 01:04:17,771 [INFO] Merged node DocumentSoort(key=CONVOCATIE_COMMISSIEACTIVITEIT) props={'key': 'CONVOCATIE_COMMISSIEACTIVITEIT', 'prefLabel': 'Convocatie commissieactiviteit'}
2025-07-11 01:04:17,772 [INFO] Merged node DocumentSoort(key=CONVOCATIE_INBRENG) props={'key': 'CONVOCATIE_INBRENG', 'prefLabel': 'Convocatie inbreng'}
2025-07-11 01:04:17,772 [INFO] Merged node DocumentSoort(key=EU_VOORSTEL) props={'key': 'EU_VOORSTEL', 'prefLabel': 'EU-voorstel'}
2025-07-11 01:04:17,772 [INFO] Merged node DocumentSoort(key=EINDTEKST) props={'key': 'EINDTEKST', 'prefLabel': 'Eindtekst'}
2025-07-11 01:04:17,773 [INFO] Merged node DocumentSoort(key=GELEIDENDE_BRIEF) props={'key': 'GELEIDENDE_BRIEF', 'prefLabel': 'Geleidende brief'}
2025-07-11 01:04:17,773 [INFO] Merged node DocumentSoort(key=GROENBOEKWITBOEK) props={'key': 'GROENBOEKWITBOEK', 'prefLabel': 'Groenboek/witboek'}
2025-07-11 01:04:17,774 [INFO] Merged node DocumentSoort(key=INBRENG_VERSLAG_SCHRIFTELIJK_OVERLEG) props={'key': 'INBRENG_VERSLAG_SCHRIFTELIJK_OVERLEG', 'prefLabel': 'Inbreng verslag schriftelijk overleg'}
2025-07-11 01:04:17,775 [INFO] Merged node DocumentSoort(key=INITIATIEFNOTA) props={'key': 'INITIATIEFNOTA', 'prefLabel': 'Initiatiefnota'}
2025-07-11 01:04:17,775 [INFO] Merged node DocumentSoort(key=INTERPELLATIEVRAGEN) props={'key': 'INTERPELLATIEVRAGEN', 'prefLabel': 'Interpellatievragen'}
2025-07-11 01:04:17,775 [INFO] Merged node DocumentSoort(key=JAARVERSLAG) props={'key': 'JAARVERSLAG', 'prefLabel': 'Jaarverslag'}
2025-07-11 01:04:17,776 [INFO] Merged node DocumentSoort(key=KONINKLIJKE_BOODSCHAP) props={'key': 'KONINKLIJKE_BOODSCHAP', 'prefLabel': 'Koninklijke boodschap'}
2025-07-11 01:04:17,776 [INFO] Merged node DocumentSoort(key=LIJST_MET_EU_VOORSTELLEN) props={'key': 'LIJST_MET_EU_VOORSTELLEN', 'prefLabel': 'Lijst met EU-voorstellen'}
2025-07-11 01:04:17,777 [INFO] Merged node DocumentSoort(key=LIJST_VAN_COMMENTAREN) props={'key': 'LIJST_VAN_COMMENTAREN', 'prefLabel': 'Lijst van commentaren'}
2025-07-11 01:04:17,777 [INFO] Merged node DocumentSoort(key=LIJST_VAN_INGEKOMEN_STUKKEN) props={'key': 'LIJST_VAN_INGEKOMEN_STUKKEN', 'prefLabel': 'Lijst van ingekomen stukken'}
2025-07-11 01:04:17,778 [INFO] Merged node DocumentSoort(key=LIJST_VAN_VRAGEN_EN_ANTWOORDEN) props={'key': 'LIJST_VAN_VRAGEN_EN_ANTWOORDEN', 'prefLabel': 'Lijst van vragen en antwoorden'}
